from,to,year,relation,land,wvb
Klaus_Riedel,Technische_Hochschule_Berlin,1,function,1,0
Klaus_Riedel,Verein_fuer_Raumschifffahrt,1,function,1,0
Klaus_Riedel,Berlin,1,place,1,0
Klaus_Riedel,Reinickendorf,1,place,1,0
Konrad_Dannenberg,Gesellschaft_fuer_Raketenforschung,1,function,1,0
Konrad_Dannenberg,Technische_Hochschule_Hannover,1,function,1,0
Konrad_Dannenberg,Hannover,1,place,1,0
Kurt_Debus,Burschenschaft_Markommannia,1,function,1,0
Kurt_Debus,Technische_Hochschule_Darmstadt,1,function,1,0
Kurt_Debus,Darmstadt,1,place,1,0
Ludwig_Maximilians_Universitaet_Muenchen,Muenchen,1,place,1,0
Nationalsozialistische_Deutsche_Arbeiterpartei,Berlin,1,place,1,0
Physiologisches_Institut_Freiburg,Universitaet_Freiburg,1,place,1,0
Physiologisches_Institut_Western_University,Western_University,1,place,2,0
Physiologisches_Institut_Wuerzburg,Julius_Maximilians_Universitaet_Wuerzburg,1,place,1,0
Raketenflugplatz_Berlin,Reinickendorf,1,place,1,0
Rudolf_Nebel,Raketenflugplatz_Berlin,1,function,1,0
Rudolf_Nebel,Technische_Universitaet_Muenchen,1,function,1,0
Rudolf_Nebel,Verein_fuer_Raumschifffahrt,1,function,1,0
Rudolf_Nebel,Berlin,1,place,1,0
Rudolf_Nebel,Muenchen,1,place,1,0
Rudolf_Nebel,Reinickendorf,1,place,1,0
Ruprecht_Karls_Universitaet_Heidelberg,Heidelberg,1,place,1,0
Technische_Hochschule_Berlin,Berlin,1,place,1,0
Technische_Hochschule_Darmstadt,Darmstadt,1,place,1,0
Technische_Hochschule_Hannover,Hannover,1,place,1,0
Technische_Universitaet_Klausenburg,Klausenburg,1,place,3,0
Technische_Universitaet_Muenchen,Muenchen,1,place,1,0
Universitaet_Budapest,Budapest,1,place,3,0
Universitaet_Freiburg,Freiburg,1,place,1,0
Verein_fuer_Raumschifffahrt,Berlin,1,place,1,0
Verein_fuer_Raumschifffahrt,Breslau,1,place,1,0
Walter_Dornberger,Heereswaffenamt,1,function,1,0
Walter_Dornberger,Technische_Hochschule_Berlin,1,function,1,0
Walter_Dornberger,Verein_fuer_Raumschifffahrt,1,function,1,0
Walter_Dornberger,Berlin,1,place,1,0
Walter_Riedel,Firma_Heylandt,1,function,1,0
Walter_Riedel,Berlin,1,place,1,0
Wernher_von_Braun,Arthur_Rudolph,1,function,1,1
Wernher_von_Braun,Eidgenoessische_Technische_Hochschule_Zuerich,1,function,3,1
Wernher_von_Braun,Heeresversuchsanstalt,1,function,1,1
Wernher_von_Braun,Heereswaffenamt,1,function,1,1
Wernher_von_Braun,Hermann_Oberth,1,function,1,1
Wernher_von_Braun,Klaus_Riedel,1,function,1,1
Wernher_von_Braun,Raketenflugplatz_Berlin,1,function,1,1
Wernher_von_Braun,Rudolf_Nebel,1,function,1,1
Wernher_von_Braun,Technische_Hochschule_Berlin,1,function,1,1
Wernher_von_Braun,Verein_fuer_Raumschifffahrt,1,function,1,1
Wernher_von_Braun,Walter_Dornberger,1,function,1,1
Wernher_von_Braun,Berlin,1,place,1,1
Wernher_von_Braun,Breslau,1,place,1,1
Wernher_von_Braun,Kummersdorf,1,place,1,1
Wernher_von_Braun,Reinickendorf,1,place,1,1
Wernher_von_Braun,Zuerich,1,place,3,1
Western_University,Chicago,1,place,2,0
Western_University,Cleveland,1,place,2,0
Westfaelische_Wilhelms_Universitaet_Muenster,Muenster,1,place,1,0
